,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target
0,5.1,3.5,1.4,0.2,setosa
1,4.8,3.1,1.6,0.2,setosa
2,5.4,3.4,1.5,0.4,setosa
3,5.2,4.1,1.5,0.1,setosa
4,5.5,4.2,1.4,0.2,setosa
5,4.9,3.1,1.5,0.2,setosa
6,5,3.2,1.2,0.2,setosa
7,5.5,3.5,1.3,0.2,setosa
8,4.4,3,1.3,0.2,setosa
9,5,3.5,1.3,0.3,setosa
10,4.5,2.3,1.3,0.3,setosa
15,4.6,3.2,1.4,0.2,setosa
18,4.8,3,1.4,0.3,setosa
19,5.1,3.7,1.5,0.4,setosa
20,4.9,3,1.4,0.2,setosa
21,4.9,3.6,1.4,0.1,setosa
22,4.8,3,1.4,0.1,setosa
23,5,3.5,1.6,0.6,setosa
24,5.2,3.4,1.4,0.2,setosa
25,5.1,3.4,1.5,0.2,setosa
27,4.7,3.2,1.3,0.2,setosa
28,4.6,3.1,1.5,0.2,setosa
29,5,3.6,1.4,0.2,setosa
30,5.2,3.5,1.5,0.2,setosa
31,5.4,3.9,1.7,0.4,setosa
34,4.4,2.9,1.4,0.2,setosa
35,5.4,3.7,1.5,0.2,setosa
37,4.3,3,1.1,0.1,setosa
39,5.7,4.4,1.5,0.4,setosa
40,5.4,3.9,1.3,0.4,setosa
41,5,3,1.6,0.2,setosa
43,5.1,3.5,1.4,0.3,setosa
44,5.7,3.8,1.7,0.3,setosa
46,5.4,3.4,1.7,0.2,setosa
47,4.6,3.6,1,0.2,setosa
48,5.8,4,1.2,0.2,setosa
49,5.1,3.3,1.7,0.5,setosa
50,5.6,2.7,4.2,1.3,versicolor
51,5,2.3,3.3,1,versicolor
52,6.3,2.3,4.4,1.3,versicolor
53,6.1,3,4.6,1.4,versicolor
54,5.6,3,4.1,1.3,versicolor
56,5.7,3,4.2,1.2,versicolor
57,6,3.4,4.5,1.6,versicolor
58,5.8,2.6,4,1.2,versicolor
59,6.2,2.9,4.3,1.3,versicolor
60,5.5,2.5,4,1.3,versicolor
61,5.7,2.8,4.1,1.3,versicolor
62,5.2,2.7,3.9,1.4,versicolor
64,6.1,2.9,4.7,1.4,versicolor
67,5.5,2.3,4,1.3,versicolor
69,6,2.7,5.1,1.6,versicolor
70,5.1,2.5,3,1.1,versicolor
72,5.4,3,4.5,1.5,versicolor
73,5.5,2.4,3.8,1.1,versicolor
74,5.8,2.7,4.1,1,versicolor
75,5.6,3,4.5,1.5,versicolor
77,5.6,2.9,3.6,1.3,versicolor
79,5.5,2.4,3.7,1,versicolor
81,6.6,2.9,4.6,1.3,versicolor
83,6.3,3.3,4.7,1.6,versicolor
85,6.9,3.1,4.9,1.5,versicolor
86,5.7,2.8,4.5,1.3,versicolor
87,5.6,2.5,3.9,1.1,versicolor
88,6.4,3.2,4.5,1.5,versicolor
89,5.7,2.6,3.5,1,versicolor
90,6,2.9,4.5,1.5,versicolor
92,6.8,2.8,4.8,1.4,versicolor
93,6.6,3,4.4,1.4,versicolor
95,6.4,2.9,4.3,1.3,versicolor
96,6.3,2.5,4.9,1.5,versicolor
97,6.1,2.8,4,1.3,versicolor
98,5.9,3.2,4.8,1.8,versicolor
99,6.1,2.8,4.7,1.2,versicolor
100,5.8,2.7,5.1,1.9,virginica
101,6.7,3.1,5.6,2.4,virginica
106,6.3,2.5,5,1.9,virginica